State,Year,Primary_Fuel,Production_Amount
Victoria,2010-11,Black coal,0.00
Victoria,2010-11,Brown coal,66733.00
Victoria,2010-11,Crude oil and NGL,3978.70
Victoria,2010-11,Naturally occurring LPG,1645.80
Victoria,2010-11,Natural gas a,13438.20
Victoria,2010-11,Ethane,150.80
Victoria,2010-11,Liquid/gas biofuels,5.50
Victoria,2010-11,Wood,1062.90
Victoria,2010-11,Bagasse,0.00
Victoria,2010-11,Hydro-electricity,3910.60
Victoria,2010-11,Wind b,1434.40
Victoria,2010-11,Solar PV,205.50
Victoria,2010-11,Solar hotwater,2.00
Victoria,2011-12,Black coal,0.00
Victoria,2011-12,Brown coal,69124.00
Victoria,2011-12,Crude oil and NGL,3194.10
Victoria,2011-12,Naturally occurring LPG,1645.20
Victoria,2011-12,Natural gas a,12652.60
Victoria,2011-12,Ethane,160.00
Victoria,2011-12,Liquid/gas biofuels,6.20
Victoria,2011-12,Wood,1081.90
Victoria,2011-12,Bagasse,0.00
Victoria,2011-12,Hydro-electricity,2393.30
Victoria,2011-12,Wind b,1416.20
Victoria,2011-12,Solar PV,378.70
Victoria,2011-12,Solar hotwater,2.20
Victoria,2012-13,Black coal,0.00
Victoria,2012-13,Brown coal,59854.00
Victoria,2012-13,Crude oil and NGL,3016.90
Victoria,2012-13,Naturally occurring LPG,1688.10
Victoria,2012-13,Natural gas a,12951.40
Victoria,2012-13,Ethane,163.20
Victoria,2012-13,Liquid/gas biofuels,6.00
Victoria,2012-13,Wood,1600.10
Victoria,2012-13,Bagasse,0.00
Victoria,2012-13,Hydro-electricity,3293.80
Victoria,2012-13,Wind b,2005.10
Victoria,2012-13,Solar PV,580.10
Victoria,2012-13,Solar hotwater,2.40
Victoria,2013-14,Black coal,0.00
Victoria,2013-14,Brown coal,58606.30
Victoria,2013-14,Crude oil and NGL,3055.40
Victoria,2013-14,Naturally occurring LPG,1929.00
Victoria,2013-14,Natural gas a,12658.90
Victoria,2013-14,Ethane,187.40
Victoria,2013-14,Liquid/gas biofuels,7.00
Victoria,2013-14,Wood,1604.20
Victoria,2013-14,Bagasse,4.50
Victoria,2013-14,Hydro-electricity,2595.00
Victoria,2013-14,Wind b,2771.90
Victoria,2013-14,Solar PV,678.60
Victoria,2013-14,Solar hotwater,2.40
Victoria,2014-15,Black coal,0.00
Victoria,2014-15,Brown coal,62894.80
Victoria,2014-15,Crude oil and NGL,2746.80
